"[Select]","Gene Set Category","Gene Set ID","Gene Set Name","Gene Set Size","Count Overlap Gene","Percentage Genes in Gene Set","Fold Enrichment","log2 fold","P value","P value calc log_10","Bonferroni","Benjamini & Hochberg","Benjamini & Yekutieli","Overlaping Gene Symbols","Overlapping Gene IDs"
"","GO Biological Processes","GO:0016049","cell growth","146","2","14.286","13.6673","3.773","0.00909368524963636","2.04126008165848","1","0.0461927020645245","0.320148494128283","pk,path","FBgn0003090,FBgn0036007"
"","GO Cellular Component","GO:0031410","cytoplasmic vesicle","457","3","21.429","6.5495","2.711","0.00967694184706411","2.01426186880577","1","0.0483005619149113","0.33475747188395","unc-13-4A,path,Fas3","FBgn0035756,FBgn0036007,FBgn0000636"
"","GO Cellular Component","GO:0097708","intracellular vesicle","457","3","21.429","6.5495","2.711","0.00967694184706411","2.01426186880577","1","0.0483005619149113","0.33475747188395","Fas3,unc-13-4A,path","FBgn0000636,FBgn0035756,FBgn0036007"
"","GO Cellular Component","GO:0071944","cell periphery","2056","6","42.857","2.9116","1.542","0.0104781535676123","1.97971524083006","1","0.0502631070090822","0.348359314349888","Fas3,sano,path,fred,pk,baz","FBgn0000636,FBgn0034408,FBgn0036007,FBgn0051774,FBgn0003090,FBgn0000163"
"","GO Cellular Component","GO:0043005","neuron projection","471","3","21.429","6.3549","2.668","0.0105079666221078","1.97848131539277","1","0.0502631070090822","0.348359314349888","dcma,Sdc,path","FBgn0085380,FBgn0010415,FBgn0036007"
"","GO Biological Processes","GO:0009948","anterior/posterior axis specification","160","2","14.286","12.4714","3.641","0.0108408312970905","1.96493741393262","1","0.0514267534258675","0.356424217059221","pk,baz","FBgn0003090,FBgn0000163"
"","GO Biological Processes","GO:0120035","regulation of plasma membrane bounded cell projection organization","162","2","14.286","12.3175","3.623","0.0111017189354999","1.95460977198764","1","0.0518080216989993","0.359066679137572","baz,pk","FBgn0000163,FBgn0003090"
"","GO Biological Processes","GO:0031344","regulation of cell projection organization","167","2","14.286","11.9487","3.579","0.0117661298056031","1.92936636472418","1","0.0536604626191235","0.371905420855061","baz,pk","FBgn0000163,FBgn0003090"
"","GO Biological Processes","GO:0032535","regulation of cellular component size","167","2","14.286","11.9487","3.579","0.0117661298056031","1.92936636472418","1","0.0536604626191235","0.371905420855061","path,pk","FBgn0036007,FBgn0003090"
"","GO Cellular Component","GO:0031982","vesicle","493","3","21.429","6.0713","2.602","0.0118968748166407","1.92456710819906","1","0.0536604626191235","0.371905420855061","unc-13-4A,path,Fas3","FBgn0035756,FBgn0036007,FBgn0000636"
"","GO Biological Processes","GO:0010631","epithelial cell migration","185","2","14.286","10.7861","3.431","0.0142999590331482","1.84466520670998","1","0.0606075847898766","0.420053950862789","baz,Sdc","FBgn0000163,FBgn0010415"
"","GO Biological Processes","GO:0090132","epithelium migration","186","2","14.286","10.7281","3.423","0.0144471431124486","1.8402180250989","1","0.0606075847898766","0.420053950862789","baz,Sdc","FBgn0000163,FBgn0010415"
"","GO Biological Processes","GO:0003002","regionalization","530","3","21.429","5.6474","2.498","0.0144655733731936","1.83966434750657","1","0.0606075847898766","0.420053950862789","baz,fred,pk","FBgn0000163,FBgn0051774,FBgn0003090"
"","GO Biological Processes","GO:0007416","synapse assembly","188","2","14.286","10.614","3.408","0.0147435102197605","1.83139910483649","1","0.0613244555517576","0.425022378442111","Sdc,baz","FBgn0010415,FBgn0000163"
