"[Select]","Gene Set Category","Gene Set ID","Gene Set Name","Gene Set Size","Count Overlap Gene","Percentage Genes in Gene Set","Fold Enrichment","log2 fold","P value","P value calc log_10","Bonferroni","Benjamini & Hochberg","Benjamini & Yekutieli","Overlaping Gene Symbols","Overlapping Gene IDs"
"","GO Biological Processes","GO:0016055","Wnt signaling pathway","140","3","0.593","0.5915","-0.758","0.886995784176053","0.0520784443322282","1","0.942562440419318","1","hyd,fz4,hyx","FBgn0002431,FBgn0027342,FBgn0037657"
"","GO Molecular Function","GO:0140677","molecular function activator activity","315","8","1.581","0.7011","-0.512","0.888622633149228","0.0512826295076629","1","0.943062467425583","1","Tbc1d8-9,Dh44,raskol,Pvf2,alphaSnap,RasGAP1,Pvf3,norpA","FBgn0037074,FBgn0012344,FBgn0261570,FBgn0031888,FBgn0250791,FBgn0004390,FBgn0085407,FBgn0262738"
"","GO Biological Processes","GO:0015931","nucleobase-containing compound transport","102","2","0.395","0.5413","-0.885","0.888742069301869","0.0512242616757391","1","0.943062467425583","1","Fmr1,alphaTub67C","FBgn0028734,FBgn0087040"
"","GO Biological Processes","GO:1901990","regulation of mitotic cell cycle phase transition","102","2","0.395","0.5413","-0.885","0.888742069301869","0.0512242616757391","1","0.943062467425583","1","Egfr,p115","FBgn0003731,FBgn0040087"
"","GO Biological Processes","GO:0071826","protein-RNA complex organization","141","3","0.593","0.5873","-0.768","0.889834296387195","0.0506908594952964","1","0.943820848946962","1","Cyp40,CG1965,SRPK","FBgn0036020,FBgn0037466,FBgn0286813"
"","GO Biological Processes","GO:0060828","regulation of canonical Wnt signaling pathway","103","2","0.395","0.536","-0.9","0.891960831773353","0.0496542161599542","1","0.945675182117635","1","hyd,hyx","FBgn0002431,FBgn0037657"
"","GO Biological Processes","GO:0006508","proteolysis","917","27","5.336","0.8128","-0.299","0.893131688996084","0.0490845012595406","1","0.946515143064947","1","CG30283,CG18735,ctrip,CG18417,CG32379,FBXO11,Spn77Ba,CG3744,Ide,CG40045,CG9953,CG30286,Bruce,CG8560,CG40470,Timp,Usp5,grass,CtsF,CG8945,CG8563,CG30288,CG7546,pic,sphinx2,ndl,Rpt6R","FBgn0260477,FBgn0042098,FBgn0260794,FBgn0035780,FBgn0052379,FBgn0037760,FBgn0262057,FBgn0039240,FBgn0001247,FBgn0058045,FBgn0035726,FBgn0050286,FBgn0266717,FBgn0035781,FBgn0058470,FBgn0025879,FBgn0035402,FBgn0039494,FBgn0260462,FBgn0030815,FBgn0035777,FBgn0050288,FBgn0035793,FBgn0260962,FBgn0052382,FBgn0002926,FBgn0039788"
"","GO Molecular Function","GO:0016798","hydrolase activity, acting on glycosyl bonds","104","2","0.395","0.5309","-0.913","0.89509299994564","0.0481318392484302","1","0.946828221959697","1","Cht7,Gal","FBgn0035398,FBgn0001089"
"","GO Biological Processes","GO:0006959","humoral immune response","143","3","0.593","0.5791","-0.788","0.89532076668509","0.0480213420656213","1","0.946828221959697","1","Rel,grass,Pvf2","FBgn0014018,FBgn0039494,FBgn0031888"
"","GO Biological Processes","GO:0007051","spindle organization","143","3","0.593","0.5791","-0.788","0.89532076668509","0.0480213420656213","1","0.946828221959697","1","SRPK,Klp67A,alphaTub67C","FBgn0286813,FBgn0004379,FBgn0087040"
"","GO Molecular Function","GO:0140098","catalytic activity, acting on RNA","286","7","1.383","0.6756","-0.566","0.897733892263803","0.0468523785312738","1","0.948427364017888","1","Snp,Rm62,AGO3,CG9386,CG7544,mtTFB2,Tengl4","FBgn0265192,FBgn0003261,FBgn0250816,FBgn0037708,FBgn0033994,FBgn0037778,FBgn0037857"
"","GO Biological Processes","GO:0016072","rRNA metabolic process","181","4","0.791","0.61","-0.713","0.897847659355993","0.0467973451963836","1","0.948427364017888","1","CG7544,mtTFB2,Rrp42,Rrp5","FBgn0033994,FBgn0037778,FBgn0034065,FBgn0039182"
